Condition,prob,my_thresholds,Mcf_pR
Grow,0.25,4.2019233450337+0i,0.934624993286351
Grow,0.5,4.36351047996549+0i,0.934624993286351
Grow,0.75,4.52509767207553+0i,0.934624993286351
Grow,0.95,4.79658825700501+0i,0.934624993286351
Shrink,0.25,4.04830536429216+0i,0.908467098334081
Shrink,0.5,4.17259174203365+0i,0.908467098334081
Shrink,0.75,4.29687902543684+0i,0.908467098334081
Shrink,0.95,4.50570823063012+0i,0.908467098334081
Delay,0.25,3.59068860399875+0i,0.758328009200613
Delay,0.5,3.84222030054306+0i,0.758328009200613
Delay,0.75,4.09375155564092+0i,0.758328009200613
Delay,0.95,4.51636072852498+0i,0.758328009200613
Heavy,0.25,3.92109874254924+0i,0.265746485082936
Heavy,0.5,4.09787519580116+0i,0.265746485082936
Heavy,0.75,4.27465165661033+0i,0.265746485082936
Heavy,0.95,4.57166163867895+0i,0.265746485082936
Light,0.25,3.5246992756493+0i,0.571477983159078
Light,0.5,3.6452009730512+0i,0.571477983159078
Light,0.75,3.76570267033233+0i,0.571477983159078
Light,0.95,3.96816295009385+0i,0.571477983159078
Fast,0.25,4.0572332491198+0i,0.614379900296477
Fast,0.5,4.11680951927099+0i,0.614379900296477
Fast,0.75,4.18177881393934+0i,0.614379900296477
Fast,0.95,4.34413173120747+0.163664786545778i,0.614379900296477
Saturated,0.25,3.5715919236072+0i,0.941916402896501
Saturated,0.5,3.72070068260801+0i,0.941916402896501
Saturated,0.75,3.86980551841199+0i,0.941916402896501
Saturated,0.95,4.12032069541543+0i,0.941916402896501
Unsaturated,0.25,3.52113040489872+0i,0.607329974555469
Unsaturated,0.5,3.81739914520722+0i,0.607329974555469
Unsaturated,0.75,4.11366788506015+0i,0.607329974555469
Unsaturated,0.95,4.61144199621826+0i,0.607329974555469
Ripple,0.25,3.6125525507444+0i,0.942087415685974
Ripple,0.5,3.76351233378757+0i,0.942087415685974
Ripple,0.75,3.91448516124697+0i,0.942087415685974
Ripple,0.95,4.16826498863266+0i,0.942087415685974
